TRIPID,PERSID,HHID,TRIPNO,STARTHOUR,STARTIME,ORIGCCD,ORIGSLA,ORIGLGA,ORIGPLACE1,ORIGPLACE2,ORIGPURP1,ORIGPURP2,ARRHOUR,ARRTIME,DESTCCD,DESTSLA,DESTLGA,DESTPLACE1,DESTPLACE2,DESTPURP1,DESTPURP2,CUMDIST,DEPHOUR,DEPTIME,LINKMODE,TRIPTIME,TRAVTIME,WAITIME,DURATION,TRAVELPERIOD,TRIPPURP,Mode_Group,ADTRIPWGT,WDTRIPWGT,WETRIPWGT
Y09H141811P01T04,Y09H141811P01,Y09H141811,4,20,1245,2101001,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,21,1265,2110401,Newtown,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,21.05,N/A,N/A,Vehicle Driver,20,20,0,N/A,Off Peak,Social,Vehicle Driver,66.01323534,87.85494188, 
Y09H141921P01T03,Y09H141921P01,Y09H141921,3,16,990,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,17,1040,2100108,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,66.8,18,1100,Vehicle Driver,50,50,0,60,Off Peak,Social,Vehicle Driver,67.42224407, ,237.0316831
Y09H141921P01T04,Y09H141921P01,Y09H141921,4,18,1100,2100108,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,18,1125,2101307,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,26.36,19,1170,Vehicle Driver,25,25,0,45,Off Peak,Social,Vehicle Driver,67.42224407, ,237.0316831
Y09H141921P01T05,Y09H141921P01,Y09H141921,5,19,1170,2101307,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,20,1230,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,40.55,N/A,N/A,Vehicle Driver,60,60,0,N/A,Off Peak,Social,Vehicle Driver,67.42224407, ,237.0316831
Y09H141921P02T03,Y09H141921P02,Y09H141921,3,16,990,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,17,1040,2100108,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,66.8,18,1100,Vehicle Passenger,50,50,0,60,Off Peak,Social,Vehicle Passenger,54.96152828, ,181.0735948
Y09H141921P02T04,Y09H141921P02,Y09H141921,4,18,1100,2100108,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,18,1125,2101307,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,26.36,19,1170,Vehicle Passenger,25,25,0,45,Off Peak,Social,Vehicle Passenger,54.96152828, ,181.0735948
Y09H141921P02T05,Y09H141921P02,Y09H141921,5,19,1170,2101307,Surf Coast (S) - West,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,20,1230,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,40.55,N/A,N/A,Vehicle Passenger,60,60,0,N/A,Off Peak,Social,Vehicle Passenger,54.96152828, ,181.0735948
Y09H141941P01T01,Y09H141941P01,Y09H141941,1,9,555,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,11,675,2101307,Surf Coast (S) - West,Surf Coast (S),Natural Feature,Park,Recreational,Other recreational (eg. exercise),40.37,11,690,Bicycle,120,120,0,15,Off Peak,Recreational,Bicycle,53.98899943, ,179.5012174
Y09H141941P01T02,Y09H141941P01,Y09H141941,2,11,690,2101307,Surf Coast (S) - West,Surf Coast (S),Natural Feature,Park,Recreational,Other recreational (eg. exercise),13,810,2111904,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,40.37,17,1065,Bicycle,120,120,0,255,Off Peak,Recreational,Bicycle,53.98899943, ,179.5012174
Y09H142001P01T01,Y09H142001P01,Y09H142001,1,10,600,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,10,630,2101207,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,12.38,18,1125,Vehicle Driver,30,30,0,495,Off Peak,Work Related,Vehicle Driver,46.89959535,71.74752184, 
Y09H142001P01T02,Y09H142001P01,Y09H142001,2,18,1125,2101207,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,19,1155,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,12.38,N/A,N/A,Vehicle Driver,30,30,0,N/A,Off Peak,Work Related,Vehicle Driver,46.89959535,71.74752184, 
Y09H142002P02T01,Y09H142002P02,Y09H142002,1,8,510,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,530,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,17.94,8,535,Vehicle Driver,20,20,0,5,AM Peak (7am to 9am),Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T02,Y09H142002P02,Y09H142002,2,8,535,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,9,545,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,7.13,9,550,Vehicle Driver,10,10,0,5,AM Peak (7am to 9am),Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T03,Y09H142002P02,Y09H142002,3,9,550,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,9,554,2101003,Surf Coast (S) - East,Surf Coast (S),Recreational Place,Gym,Recreational,Other recreational (eg. exercise),1.59,10,615,Vehicle Driver,4,4,0,61,Off Peak,Recreational,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T04,Y09H142002P02,Y09H142002,4,10,615,2101003,Surf Coast (S) - East,Surf Coast (S),Recreational Place,Gym,Recreational,Other recreational (eg. exercise),10,620,2101003,Surf Coast (S) - East,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,0.22,10,655,Walking,5,5,0,35,Off Peak,Social,Walking,53.17442176,82.20818538, 
Y09H142002P02T05,Y09H142002P02,Y09H142002,5,10,655,2101003,Surf Coast (S) - East,Surf Coast (S),Social Place,Restaurant or Cafe,Social,Ate or drank,11,660,2101007,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Hairdresser & Beauty Salon,Buy Something,Bought something,0.83,11,690,Vehicle Driver,5,5,0,30,Off Peak,Buy Something,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T06,Y09H142002P02,Y09H142002,6,11,690,2101007,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Hairdresser & Beauty Salon,Buy Something,Bought something,11,692,2101003,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Bank or Financial Institution,Work Related,Something picked-up or delivered for Work,0.82,11,700,Vehicle Driver,2,2,0,8,Off Peak,Work Related,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T07,Y09H142002P02,Y09H142002,7,11,700,2101003,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Bank or Financial Institution,Work Related,Something picked-up or delivered for Work,11,703,2101003,Surf Coast (S) - East,Surf Coast (S),Shops,Petrol Station,Buy Something,Bought something,0.68,11,707,Vehicle Driver,3,3,0,4,Off Peak,Buy Something,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T08,Y09H142002P02,Y09H142002,8,11,707,2101003,Surf Coast (S) - East,Surf Coast (S),Shops,Petrol Station,Buy Something,Bought something,11,709,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,1.48,12,724,Vehicle Driver,2,2,0,15,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T09,Y09H142002P02,Y09H142002,9,12,724,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,12,740,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,11.69,15,910,Vehicle Driver,16,16,0,170,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T10,Y09H142002P02,Y09H142002,10,15,910,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,930,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,17.94,16,975,Vehicle Driver,20,20,0,45,PM Peak (3pm to 6pm),Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P02T11,Y09H142002P02,Y09H142002,11,16,975,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,16,996,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,17.94,N/A,N/A,Vehicle Driver,21,21,0,N/A,PM Peak (3pm to 6pm),Pickup/Dropoff Someone,Vehicle Driver,53.17442176,82.20818538, 
Y09H142002P03T01,Y09H142002P03,Y09H142002,1,8,510,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,530,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Education,At school,17.94,11,700,Vehicle Passenger,20,20,0,170,AM Peak (7am to 9am),Education,Vehicle Passenger,69.03670506,108.0984665, 
Y09H142002P03T02,Y09H142002P03,Y09H142002,2,11,700,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Education,At school,12,725,2110508,Newtown,Greater Geelong (C),Recreational Place,Swimming Pool,Recreational,Participated in sport,22.35,13,780,Vehicle Passenger,25,25,0,55,Off Peak,Recreational,Vehicle Passenger,69.03670506,108.0984665, 
Y09H142002P03T03,Y09H142002P03,Y09H142002,3,13,780,2110508,Newtown,Greater Geelong (C),Recreational Place,Swimming Pool,Recreational,Participated in sport,13,815,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Education,At school,22.35,16,975,Vehicle Passenger,35,35,0,160,Off Peak,Education,Vehicle Passenger,69.03670506,108.0984665, 
Y09H142002P03T04,Y09H142002P03,Y09H142002,4,16,975,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Education,At school,16,996,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,17.94,N/A,N/A,Vehicle Passenger,21,21,0,N/A,PM Peak (3pm to 6pm),Education,Vehicle Passenger,69.03670506,108.0984665, 
Y09H142002P04T01,Y09H142002P04,Y09H142002,1,8,510,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,530,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Accompany Someone,Accompanied someone,17.94,8,535,Vehicle Passenger,20,20,0,5,AM Peak (7am to 9am),Accompany Someone,Vehicle Passenger,63.14056703,97.72186886, 
Y09H142002P04T02,Y09H142002P04,Y09H142002,2,8,535,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Accompany Someone,Accompanied someone,9,545,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Personal Business,At childcare,7.13,12,724,Vehicle Passenger,10,10,0,179,AM Peak (7am to 9am),Personal Business,Vehicle Passenger,63.14056703,97.72186886, 
Y09H142002P04T03,Y09H142002P04,Y09H142002,3,12,724,2101008,Surf Coast (S) - East,Surf Coast (S),Place of Education,Childcare,Personal Business,At childcare,12,740,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,11.69,15,910,Vehicle Passenger,16,16,0,170,Off Peak,Personal Business,Vehicle Passenger,63.14056703,97.72186886, 
Y09H142002P04T04,Y09H142002P04,Y09H142002,4,15,910,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,930,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Accompany Someone,Accompanied someone,17.94,16,975,Vehicle Passenger,20,20,0,45,PM Peak (3pm to 6pm),Accompany Someone,Vehicle Passenger,63.14056703,97.72186886, 
Y09H142002P04T05,Y09H142002P04,Y09H142002,5,16,975,2101405,Surf Coast (S) - West,Surf Coast (S),Place of Education,Primary School,Accompany Someone,Accompanied someone,16,996,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,17.94,N/A,N/A,Vehicle Passenger,21,21,0,N/A,PM Peak (3pm to 6pm),Accompany Someone,Vehicle Passenger,63.14056703,97.72186886, 
Y09H142016P01T01,Y09H142016P01,Y09H142016,1,8,495,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,510,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,12.01,9,540,Vehicle Driver,15,15,0,30,AM Peak (7am to 9am),Pickup/Dropoff Someone,Vehicle Driver,68.33123328,106.3400661, 
Y09H142016P01T02,Y09H142016P01,Y09H142016,2,9,540,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,9,548,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Other recreational (eg. exercise),2.75,10,630,Vehicle Driver,8,8,0,82,Off Peak,Recreational,Vehicle Driver,68.33123328,106.3400661, 
Y09H142016P01T03,Y09H142016P01,Y09H142016,3,10,630,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Other recreational (eg. exercise),10,650,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,13.25,14,880,Vehicle Driver,20,20,0,230,Off Peak,Recreational,Vehicle Driver,68.33123328,106.3400661, 
Y09H142016P01T04,Y09H142016P01,Y09H142016,4,14,880,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,900,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,12.01,15,940,Vehicle Driver,20,20,0,40,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,68.33123328,106.3400661, 
Y09H142016P01T05,Y09H142016P01,Y09H142016,5,15,940,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,15,955,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,12.01,N/A,N/A,Vehicle Driver,15,15,0,N/A,PM Peak (3pm to 6pm),Pickup/Dropoff Someone,Vehicle Driver,68.33123328,106.3400661, 
Y09H142016P03T01,Y09H142016P03,Y09H142016,1,8,495,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,510,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Education,At school,12.01,15,940,Vehicle Passenger,15,15,0,430,AM Peak (7am to 9am),Education,Vehicle Passenger,86.71941866,133.6313769, 
Y09H142016P03T02,Y09H142016P03,Y09H142016,2,15,940,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Education,At school,15,955,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,12.01,N/A,N/A,Vehicle Passenger,15,15,0,N/A,PM Peak (3pm to 6pm),Education,Vehicle Passenger,86.71941866,133.6313769, 
Y09H142016P04T01,Y09H142016P04,Y09H142016,1,8,495,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,510,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Education,At school,12.01,15,940,Vehicle Passenger,15,15,0,430,AM Peak (7am to 9am),Education,Vehicle Passenger,80.31651722,122.3321931, 
Y09H142016P04T02,Y09H142016P04,Y09H142016,2,15,940,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Education,Primary School,Education,At school,15,955,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,12.01,N/A,N/A,Vehicle Passenger,15,15,0,N/A,PM Peak (3pm to 6pm),Education,Vehicle Passenger,80.31651722,122.3321931, 
Y09H142030P01T01,Y09H142030P01,Y09H142030,1,14,840,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,910,2101207,Surf Coast (S) - East,Surf Coast (S),Shops,Fast Food,Social,Ate or drank,13.05,15,915,Walking,70,70,0,5,Off Peak,Social,Walking,57.8464782,80.64267578, 
Y09H142030P01T02,Y09H142030P01,Y09H142030,2,15,915,2101207,Surf Coast (S) - East,Surf Coast (S),Shops,Fast Food,Social,Ate or drank,15,930,2101003,Surf Coast (S) - East,Surf Coast (S),Social Place,Library,Recreational,Recreational (NEC),1.55,16,1005,Walking,15,15,0,75,PM Peak (3pm to 6pm),Recreational,Walking,57.8464782,80.64267578, 
Y09H142030P01T03,Y09H142030P01,Y09H142030,3,16,1005,2101003,Surf Coast (S) - East,Surf Coast (S),Social Place,Library,Recreational,Recreational (NEC),16,1011,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Personal Service NEC,Personal Business,Met/waited for someone,1.49,17,1020,Walking,6,6,0,9,PM Peak (3pm to 6pm),Personal Business,Walking,57.8464782,80.64267578, 
Y09H142030P01T04,Y09H142030P01,Y09H142030,4,17,1020,2101207,Surf Coast (S) - East,Surf Coast (S),Place of Personal Business,Personal Service NEC,Personal Business,Met/waited for someone,17,1045,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,12.78,N/A,N/A,Vehicle Passenger,25,25,0,N/A,PM Peak (3pm to 6pm),Personal Business,Vehicle Passenger,57.8464782,80.64267578, 
Y09H142030P02T01,Y09H142030P02,Y09H142030,1,9,570,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,10,600,2101007,Surf Coast (S) - East,Surf Coast (S),Social Place,Club,Recreational,Other recreational (eg. exercise),13.4,11,690,Vehicle Driver,30,30,0,90,Off Peak,Recreational,Vehicle Driver,46.18606688,65.76407362, 
Y09H142030P02T02,Y09H142030P02,Y09H142030,2,11,690,2101007,Surf Coast (S) - East,Surf Coast (S),Social Place,Club,Recreational,Other recreational (eg. exercise),11,695,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Bay or Beach,Social,Ate or drank,0.99,12,770,Vehicle Driver,5,5,0,75,Off Peak,Social,Vehicle Driver,46.18606688,65.76407362, 
Y09H142030P02T03,Y09H142030P02,Y09H142030,3,12,770,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Bay or Beach,Social,Ate or drank,12,775,2101003,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,1.49,17,1020,Vehicle Driver,5,5,0,245,Off Peak,Work Related,Vehicle Driver,46.18606688,65.76407362, 
Y09H142030P02T04,Y09H142030P02,Y09H142030,4,17,1020,2101003,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,17,1045,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,13.07,N/A,N/A,Vehicle Driver,25,25,0,N/A,PM Peak (3pm to 6pm),Work Related,Vehicle Driver,46.18606688,65.76407362, 
Y09H142033P02T13,Y09H142033P02,Y09H142033,13,18,1080,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,18,1100,2101007,Surf Coast (S) - East,Surf Coast (S),Transport Feature,On-Street Feature,Accompany Someone,Accompanied someone,14.28,19,1155,Vehicle Driver,20,20,0,55,Off Peak,Accompany Someone,Vehicle Driver,48.80017624,76.61691738, 
Y09H142033P02T14,Y09H142033P02,Y09H142033,14,19,1155,2101007,Surf Coast (S) - East,Surf Coast (S),Transport Feature,On-Street Feature,Accompany Someone,Accompanied someone,19,1170,2101205,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,5.34,19,1170,Vehicle Driver,15,15,0,0,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,48.80017624,76.61691738, 
Y09H142033P02T15,Y09H142033P02,Y09H142033,15,19,1170,2101205,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,19,1185,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,11.04,22,1355,Vehicle Driver,15,15,0,170,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,48.80017624,76.61691738, 
Y09H142033P03T06,Y09H142033P03,Y09H142033,6,18,1080,2111404,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,18,1100,2101007,Surf Coast (S) - East,Surf Coast (S),Transport Feature,On-Street Feature,Personal Business,Met/waited for someone,14.28,19,1155,Vehicle Passenger,20,20,0,55,Off Peak,Personal Business,Vehicle Passenger,55.41228719,85.49574342, 
Y09H142033P03T07,Y09H142033P03,Y09H142033,7,19,1155,2101007,Surf Coast (S) - East,Surf Coast (S),Transport Feature,On-Street Feature,Personal Business,Met/waited for someone,19,1170,2101205,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Personal Business,Stayed overnight,5.34,N/A,N/A,Vehicle Passenger,15,15,0,N/A,Off Peak,Personal Business,Vehicle Passenger,55.41228719,85.49574342, 
Y09H142139P02T03,Y09H142139P02,Y09H142139,3,8,530,2111108,South Barwon - Inner,Greater Geelong (C),Workplace,My Workplace,Work Related,Own Workplace,9,575,2101404,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,34.23,9,595,Vehicle Driver,45,45,0,20,AM Peak (7am to 9am),Work Related,Vehicle Driver,77.41862869,106.8791943, 
Y09H142139P02T04,Y09H142139P02,Y09H142139,4,9,595,2101404,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,10,640,2111108,South Barwon - Inner,Greater Geelong (C),Workplace,My Workplace,Work Related,Own Workplace,33.46,15,900,Vehicle Driver,45,45,0,260,Off Peak,Work Related,Vehicle Driver,77.41862869,106.8791943, 
Y09H142405P02T01,Y09H142405P02,Y09H142405,1,16,960,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,16,980,2101002,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,14.14,21,1290,Vehicle Driver,20,20,0,310,PM Peak (3pm to 6pm),Work Related,Vehicle Driver,76.58998708,112.4287316, 
Y09H142405P02T02,Y09H142405P02,Y09H142405,2,21,1290,2101002,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,21,1310,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,14.27,N/A,N/A,Vehicle Driver,20,20,0,N/A,Off Peak,Work Related,Vehicle Driver,76.58998708,112.4287316, 
Y09H142405P03T03,Y09H142405P03,Y09H142405,3,16,960,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,16,980,2101002,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,14.14,21,1290,Vehicle Passenger,20,20,0,310,PM Peak (3pm to 6pm),Social,Vehicle Passenger,71.88601524,107.3449532, 
Y09H142405P03T04,Y09H142405P03,Y09H142405,4,21,1290,2101002,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,21,1310,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,14.27,N/A,N/A,Vehicle Passenger,20,20,0,N/A,Off Peak,Social,Vehicle Passenger,71.88601524,107.3449532, 
Y09H142405P04T03,Y09H142405P04,Y09H142405,3,16,960,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,16,980,2101002,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,14.14,21,1290,Vehicle Passenger,20,20,0,310,PM Peak (3pm to 6pm),Social,Vehicle Passenger,77.73021949,111.6743506, 
Y09H142405P04T04,Y09H142405P04,Y09H142405,4,21,1290,2101002,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,21,1310,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,14.27,N/A,N/A,Vehicle Passenger,20,20,0,N/A,Off Peak,Social,Vehicle Passenger,77.73021949,111.6743506, 
Y09H142405P05T01,Y09H142405P05,Y09H142405,1,16,960,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,16,980,2101002,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Accompany Someone,Accompanied someone,14.14,21,1290,Vehicle Passenger,20,20,0,310,PM Peak (3pm to 6pm),Accompany Someone,Vehicle Passenger,75.16911947,107.9948398, 
Y09H142405P05T02,Y09H142405P05,Y09H142405,2,21,1290,2101002,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Accompany Someone,Accompanied someone,21,1310,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,14.27,N/A,N/A,Vehicle Passenger,20,20,0,N/A,Off Peak,Accompany Someone,Vehicle Passenger,75.16911947,107.9948398, 
Y09H142408P01T05,Y09H142408P01,Y09H142408,5,14,871,2112507,South Barwon - Inner,Greater Geelong (C),Shops,Retail NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,14,880,2101204,Surf Coast (S) - East,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,12.8,14,890,Vehicle Driver,9,9,0,10,Off Peak,Work Related,Vehicle Driver,84.68991938,124.0734618, 
Y09H142408P01T06,Y09H142408P01,Y09H142408,6,14,890,2101204,Surf Coast (S) - East,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,15,900,2112507,South Barwon - Inner,Greater Geelong (C),Shops,Retail NEC,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,12.94,15,902,Vehicle Driver,10,10,0,2,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,84.68991938,124.0734618, 
Y09H142442P01T03,Y09H142442P01,Y09H142442,3,11,660,2112506,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,11,675,2101007,Surf Coast (S) - East,Surf Coast (S),Shops,Fast Food,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,16.39,11,680,Vehicle Driver,15,15,0,5,Off Peak,Pickup/Dropoff Someone,Vehicle Driver,90.75649872, ,315.4493545
